no,criteria,id,state,equation,value,species,process,param.,comment,updated,option1,option2
1,N2,1,ELASTIC,N2 -> N2,1.950000e-5,e / N2,"E + N2 -> E + N2, Elastic","m/M = 0.0000195, complete set",elastic MOMENTUM-TRANSFER CROSS SECTION.,2012-10-11 09:34:55,N2,nan
2,N2,2,EXCITATION,N2 <-> N2(V1),2.889000e-1,e / N2,"E + N2 -> E + N2( VIB V1), Excitation","E = 0.2889 eV, complete set",,2012-10-11 09:34:55,N2,N2(V1)
3,N2,3,EXCITATION,N2 <-> N2(V2),5.742000e-1,e / N2,"E + N2 -> E + N2( VIB 2V1), Excitation","E = 0.5742 eV, complete set",,2012-10-11 09:34:55,N2,N2(V2)
4,N2,4,EXCITATION,N2 <-> N2(V3),8.559000e-1,e / N2,"E + N2 -> E + N2( VIB 3V1), Excitation","E = 0.8559 eV, complete set",,2012-10-11 09:34:55,N2,N2(V3)
5,N2,5,EXCITATION,N2 <-> N2(V4),1.134200e+0,e / N2,"E + N2 -> E + N2( VIB 4V1), Excitation","E = 1.1342 eV, complete set",,2012-10-11 09:34:55,N2,N2(V4)
6,N2,6,EXCITATION,N2 <-> N2(V5),1.408800e+0,e / N2,"E + N2 -> E + N2( VIB 5V1), Excitation","E = 1.4088 eV, complete set",,2012-10-11 09:34:55,N2,N2(V5)
7,N2,7,EXCITATION,N2 <-> N2(V6),1.680100e+0,e / N2,"E + N2 -> E + N2( VIB 6V1), Excitation","E = 1.6801 eV, complete set",,2012-10-11 09:34:55,N2,N2(V6)
8,N2,8,EXCITATION,N2 <-> N2(V7),1.947500e+0,e / N2,"E + N2 -> E + N2( VIB 7V1), Excitation","E = 1.9475 eV, complete set",,2012-10-11 09:34:55,N2,N2(V7)
9,N2,9,EXCITATION,N2 <-> N2(V8),2.211500e+0,e / N2,"E + N2 -> E + N2( VIB 8V1), Excitation","E = 2.2115 eV, complete set",,2012-10-11 09:34:55,N2,N2(V8)
10,N2,10,EXCITATION,N2 <-> N2(V9),2.471800e+0,e / N2,"E + N2 -> E + N2( VIB 9V1), Excitation","E = 2.4718 eV, complete set",,2012-10-11 09:34:55,N2,N2(V9)
11,N2,11,EXCITATION,N2 <-> N2(V10),2.728400e+0,e / N2,"E + N2 -> E + N2( VIB 10V1), Excitation","E = 2.7284 eV, complete set",,2012-10-11 09:34:55,N2,N2(V10)
12,N2,12,EXCITATION,N2 <-> N2(A3Su+),6.725000e+0,e / N2,"E + N2 -> E + N2( A3SIGu+), Excitation","E = 6.725 eV, complete set","elastic collision based on @Su2021electron but the data from (@song2023cross). Threshold value is from IST (What I have before, might be from LXCAT).",,N2,N2(A3Su+)
13,N2,13,EXCITATION,N2 -> N2(B3PG),7.744000e+0,e / N2,"E + N2 -> E + N2( B 3PIG), Excitation","E = 7.744 eV, complete set","elastic collision based on @Su2021electron but the data from (@song2023cross). Threshold value is from IST (What I have before, might be from LXCAT).",,N2,nan
14,N2,14,EXCITATION,N2 -> N2(W3DEL),8.050000e+0,e / N2,"E + N2 -> E + N2( W3DEL), Excitation","E = 8.05 eV, complete set","elastic collision based on @Su2021electron but the data from (@song2023cross). Threshold value is from IST (What I have before, might be from LXCAT).",,N2,nan
15,N2,15,EXCITATION,N2 -> N2(B3SU-),8.974000e+0,e / N2,"E + N2 -> E + N2(B!3SIGu-), Excitation","E = 8.974 eV, complete set","elastic collision based on @Su2021electron but the data from (@song2023cross). Threshold value is from IST (What I have before, might be from LXCAT).",,N2,nan
16,N2,16,EXCITATION,N2 -> N2(a1PG),8.950000e+0,e / N2,"E + N2 -> E + N2(a1PIg), Excitation","E = 8.95 eV, complete set","elastic collision based on @Su2021electron but the data from (@song2023cross). Threshold value is from IST (What I have before, might be from LXCAT).",,N2,nan
17,N2,17,EXCITATION,N2 -> N2(a1Su-),9.191000e+0,e / N2,"E + N2 -> E + N2( a!1SIGu-), Excitation","E = 9.191 eV, complete set","elastic collision based on @Su2021electron but the data from (@song2023cross). Threshold value is from IST (What I have before, might be from LXCAT).",,N2,nan
18,N2,18,EXCITATION,N2 -> N2(W1DEL),9.590000e+0,e / N2,"E + N2 -> E + N2( W 1DEL), Excitation","E = 9.59 eV, complete set","elastic collision based on @Su2021electron but the data from (@song2023cross). Threshold value is from IST (What I have before, might be from LXCAT).",,N2,nan
19,N2,19,EXCITATION,N2 -> N2(C3PU),1.118800e+1,e / N2,"E + N2 -> E + N2( C 3PI V=0-4), Excitation","E = 11.188 eV, complete set",collision based on @Su2021electron but the data from (@song2023cross).,,N2,nan
20,N2,21,EXCITATION,N2 -> N+N,1.199980E+01,e / N2,,,collision based on @Su2021electron but the data from (@song2023cross). threshold is arbitary and tempolar value i made,2012-10-11 09:34:55,N2,nan
21,N2,25,IONIZATION,N2 -> N2+(X),1.560000e+1,e / N2,"E + N2 -> E + E + N2+(X), Ionization","E = 15.6 eV, complete set","[e + N2(X) -> e + e + N2(+,X), Ionization] The cross section for the ionization to N2(+,X) was obtained from the total ionization cross section of Rapp D and Englander-Golden P 1965 J. Chem. Phys. 43 1464, and the partial ionization cross section to N2(+,B) of Isola L M, GÃ³mez B J and Guerra V 2010 J. Phys. D: Appl. Phys. 43 015202.",2018-11-27 12:51:46,N2,nan
22,N2,26,IONIZATION,N2 -> N2+(B),1.880000e+1,e / N2,"E + N2 -> E + E + N2+(B), Ionization","E = 18.8 eV, complete set","[e + N2(X) -> e + e + N2(+,B), Ionization] Isola L M, GÃ³mez B J and Guerra V 2010 J. Phys. D: Appl. Phys. 43 015202.",2018-11-27 12:53:18,N2,nan
23,N2(V1),2,EXCITATION,N2 <-> N2(V1),2.889000e-1,e / N2,"E + N2 -> E + N2( VIB V1), Excitation","E = 0.2889 eV, complete set",,2012-10-11 09:34:55,N2,N2(V1)
24,N2(V2),3,EXCITATION,N2 <-> N2(V2),5.742000e-1,e / N2,"E + N2 -> E + N2( VIB 2V1), Excitation","E = 0.5742 eV, complete set",,2012-10-11 09:34:55,N2,N2(V2)
25,N2(V3),4,EXCITATION,N2 <-> N2(V3),8.559000e-1,e / N2,"E + N2 -> E + N2( VIB 3V1), Excitation","E = 0.8559 eV, complete set",,2012-10-11 09:34:55,N2,N2(V3)
26,N2(V4),5,EXCITATION,N2 <-> N2(V4),1.134200e+0,e / N2,"E + N2 -> E + N2( VIB 4V1), Excitation","E = 1.1342 eV, complete set",,2012-10-11 09:34:55,N2,N2(V4)
27,N2(V5),6,EXCITATION,N2 <-> N2(V5),1.408800e+0,e / N2,"E + N2 -> E + N2( VIB 5V1), Excitation","E = 1.4088 eV, complete set",,2012-10-11 09:34:55,N2,N2(V5)
28,N2(V6),7,EXCITATION,N2 <-> N2(V6),1.680100e+0,e / N2,"E + N2 -> E + N2( VIB 6V1), Excitation","E = 1.6801 eV, complete set",,2012-10-11 09:34:55,N2,N2(V6)
29,N2(V7),8,EXCITATION,N2 <-> N2(V7),1.947500e+0,e / N2,"E + N2 -> E + N2( VIB 7V1), Excitation","E = 1.9475 eV, complete set",,2012-10-11 09:34:55,N2,N2(V7)
30,N2(V8),9,EXCITATION,N2 <-> N2(V8),2.211500e+0,e / N2,"E + N2 -> E + N2( VIB 8V1), Excitation","E = 2.2115 eV, complete set",,2012-10-11 09:34:55,N2,N2(V8)
31,N2(V9),10,EXCITATION,N2 <-> N2(V9),2.471800e+0,e / N2,"E + N2 -> E + N2( VIB 9V1), Excitation","E = 2.4718 eV, complete set",,2012-10-11 09:34:55,N2,N2(V9)
32,N2(V10),11,EXCITATION,N2 <-> N2(V10),2.728400e+0,e / N2,"E + N2 -> E + N2( VIB 10V1), Excitation","E = 2.7284 eV, complete set",,2012-10-11 09:34:55,N2,N2(V10)
33,N2(A3Su+),12,EXCITATION,N2 <-> N2(A3Su+),6.725000e+0,e / N2,"E + N2 -> E + N2( A3SIGu+), Excitation","E = 6.725 eV, complete set","elastic collision based on @Su2021electron but the data from (@song2023cross). Threshold value is from IST (What I have before, might be from LXCAT).",,N2,N2(A3Su+)
34,N,20,ELASTIC,N -> N,3.918400e-5,e / N,"E + N -> E + N, Elastic",m/M = 0.000039184,"[e + N(4S) -> e + N(4S), Elastic] Wang Y, Zatsarinny O and Bartschat K 2014 Phys. Rev. A 89 062714 extended up to 1000eV.",2017-11-14 13:24:13,N,nan
35,N,22,EXCITATION,N -> N(2D),2.390710e+0  2.500000e+0,e / N,"E + N <-> E + N(2D), Excitation","E = 2.39071 eV, g1/g0 = 2.5","[e + N(4S) -> e + N(2D), Excitation] Wang Y, Zatsarinny O and Bartschat K 2014 Phys. Rev. A 89 062714 extended up to 1000eV.",2018-01-01 12:36:49,N,nan
36,N,23,EXCITATION,N -> N(2P),3.567600e+0  1.500000e+0,e / N,"E + N <-> E + N(2P), Excitation","E = 3.5676 eV, g1/g0 = 1.5","[e + N(4S) -> e + N(2P), Excitation] Wang Y, Zatsarinny O and Bartschat K 2014 Phys. Rev. A 89 062714 extended up to 1000eV.",2018-01-01 12:37:08,N,nan
37,N,24,IONIZATION,N -> N^+,1.454000e+1,e / N,"E + N -> E + E + N+, Ionization",E = 14.54 eV,"[e + N(4S) -> e + e + N(+,gnd), Ionization] Wang Y, Zatsarinny O and Bartschat K 2014 Phys. Rev. A 89 062714 extended up to 1000eV.",2017-11-14 13:22:31,N,nan
38,O2,27,ATTACHMENT,O2 -> O^-+O,,e / O2,"E + O2 -> O-+O, Attachment",E = 0 eV,Itikawa Y (2009) J Phys Chem Ref Data 38:1–20. https://urldefense.com/v3/__https://doi.org/10.1063/1.3025886__;!!Nmw4Hv0!0uZcDazHscxvQgo35e_Nqgo31iwP5Mhl0wwUt32mfiRNpEHsEG_xZ66tmpcxuLXik5ZP63Y5k2rDDTYhNdZ2nHsHHwQz7f82ib48_Q$,2012-10-17 14:30:07,O2,nan
39,O2,28,EFFECTIVE,O2 -> O2,1.714300e-5,e / O2,"E + O2 -> E + O2, Effective","m/M = 0.000017143, complete set","[e + O2(X) -> e + O2(X), Effective] Phelps A V 1985 Technical Report 28 JILA Information Center Report, University of Colorado, Boulder, Colorado, USA.",2018-03-26 19:57:15,O2,nan
40,O2,29,EXCITATION,O2 -> O2(v1),1.900000e-1,e / O2,"E + O2 -> E + O2(v1), Excitation",E = 0.19 eV,Vibrational Transitions v'=1. Itikawa Y (2009) J Phys Chem Ref Data 38:1–20. https://urldefense.com/v3/__https://doi.org/10.1063/1.3025886__;!!Nmw4Hv0!0uZcDazHscxvQgo35e_Nqgo31iwP5Mhl0wwUt32mfiRNpEHsEG_xZ66tmpcxuLXik5ZP63Y5k2rDDTYhNdZ2nHsHHwQz7f82ib48_Q$,2012-10-17 14:27:14,O2,nan
41,O2,30,EXCITATION,O2 -> O2(v2),3.800000e-1,e / O2,"E + O2 -> E + O2(v2), Excitation",E = 0.38 eV,Vibrational Transtions v'=2. Itikawa Y (2009) J Phys Chem Ref Data 38:1–20. https://urldefense.com/v3/__https://doi.org/10.1063/1.3025886__;!!Nmw4Hv0!0uZcDazHscxvQgo35e_Nqgo31iwP5Mhl0wwUt32mfiRNpEHsEG_xZ66tmpcxuLXik5ZP63Y5k2rDDTYhNdZ2nHsHHwQz7f82ib48_Q$,2012-10-17 14:27:51,O2,nan
42,O2,31,EXCITATION,O2 -> O2(v3),5.700000e-1,e / O2,"E + O2 -> E + O2(v3), Excitation",E = 0.57 eV,Vibrational Excitations v'=3. Itikawa Y (2009) J Phys Chem Ref Data 38:1–20. https://urldefense.com/v3/__https://doi.org/10.1063/1.3025886__;!!Nmw4Hv0!0uZcDazHscxvQgo35e_Nqgo31iwP5Mhl0wwUt32mfiRNpEHsEG_xZ66tmpcxuLXik5ZP63Y5k2rDDTYhNdZ2nHsHHwQz7f82ib48_Q$,2012-10-17 14:27:42,O2,nan
43,O2,32,EXCITATION,O2 -> O2(a1),9.770000e-1,e / O2,"E + O2 -> E + O2(A1), Excitation",E = 0.977 eV,Excitation of the electronic state a1DELTA. Itikawa Y (2009) J Phys Chem Ref Data 38:1–20. https://urldefense.com/v3/__https://doi.org/10.1063/1.3025886__;!!Nmw4Hv0!0uZcDazHscxvQgo35e_Nqgo31iwP5Mhl0wwUt32mfiRNpEHsEG_xZ66tmpcxuLXik5ZP63Y5k2rDDTYhNdZ2nHsHHwQz7f82ib48_Q$,2012-10-17 14:27:58,O2,nan
44,O2,33,EXCITATION,O2 -> O2(b1),1.627000e+0,e / O2,"E + O2 -> E + O2(B1), Excitation",E = 1.627 eV,Excitation of the electronic state b 1SIGMA. Itikawa Y (2009) J Phys Chem Ref Data 38:1–20. https://urldefense.com/v3/__https://doi.org/10.1063/1.3025886__;!!Nmw4Hv0!0uZcDazHscxvQgo35e_Nqgo31iwP5Mhl0wwUt32mfiRNpEHsEG_xZ66tmpcxuLXik5ZP63Y5k2rDDTYhNdZ2nHsHHwQz7f82ib48_Q$,2012-10-17 14:26:35,O2,nan
45,O2,34,EXCITATION,O2 -> O2(4.5eV),4.500000e+0,e / O2,"E + O2 -> E + O2(4.5), Excitation","E = 4.5 eV, complete set","Klopovskii K S and Rakhimova T V 1994, Privat communication. This cross section corresponding non-dissociative excitation of the c1, C3 and A3 electronic states of O2.",2010-11-03 13:34:09,O2,nan
46,O2,35,EXCITATION,O2 -> O2(5.58eV),5.580000e+0,e / O2,"E + O2 -> E + O2(C), Excitation","E = 5.58 eV, complete set","Klopovskii K S and Rakhimova T V 1994, Privat communication. This cross section corresponding dissociative excitation of the c1, C3 and A3 electronic states of O2.",2010-11-03 13:38:42,O2,nan
47,O2,36,EXCITATION,O2 -> O + O(1D),8.400000e+0,e / O2,"E + O2 -> E + O(3P)+O(1D), Excitation E + O2 -> E + Schumann-Runge continuum, Excitation",,"D. Suzuki et al., J. Chem. Phys. 134, 064311 (2011).",2014-12-23 02:16:45,O2,nan
48,O2,37,EXCITATION,O2 -> O2(9.97eV),9.970000e+0,e / O2,"E + O2 -> E + O2(9.97eV), Excitation","E = 9.97 eV, complete set","[e + O2(X) -> e + O2(9.97eV), Excitation] Phelps A V 1985 Technical Report 28 JILA Information Center Report, University of Colorado, Boulder, Colorado, USA.",2017-12-31 18:03:02,O2,nan
49,O2,38,EXCITATION,O2 -> O2(14.7eV),1.470000e+1,e / O2,"E + O2 -> E + O2(14.7eV), Excitation","E = 14.7 eV, complete set","[e + O2(X) -> e + O2(14.7eV), Excitation] Phelps A V 1985 Technical Report 28 JILA Information Center Report, University of Colorado, Boulder, Colorado, USA. Snoeckx could be dissociation into O(5S)+O(3P)",2017-12-31 18:04:37,O2,nan
50,O2,39,IONIZATION,O2 -> O2^+,1.20700e+1,e / O2,"E + O2 -> E + E + O2+, Ionization","E = 12.1 eV, complete set",Itikawa Y (2009) J Phys Chem Ref Data 38:1–20. https://urldefense.com/v3/__https://doi.org/10.1063/1.3025886__;!!Nmw4Hv0!0uZcDazHscxvQgo35e_Nqgo31iwP5Mhl0wwUt32mfiRNpEHsEG_xZ66tmpcxuLXik5ZP63Y5k2rDDTYhNdZ2nHsHHwQz7f82ib48_Q$ ,2017-12-31 18:08:01,O2,nan
51,O2,40,IONIZATION,O2 -> O^+,1.873400e+1,e / O2,"E + O2 -> E + E + O + O+, Ionization","E = 19.5 eV, complete set",Itikawa Y (2009) J Phys Chem Ref Data 38:1–20. https://urldefense.com/v3/__https://doi.org/10.1063/1.3025886__;!!Nmw4Hv0!0uZcDazHscxvQgo35e_Nqgo31iwP5Mhl0wwUt32mfiRNpEHsEG_xZ66tmpcxuLXik5ZP63Y5k2rDDTYhNdZ2nHsHHwQz7f82ib48_Q$ ,2010-11-03 13:50:31,O2,nan
52,O2,64,ATTACHMENT,O2 -> O2^- + O2,,e / O2,"E + O2 -> O2-, Attachment","E = 0 eV, complete set","3-body attachment cross section is normalized to gas density in units of 1/cm3. That is, to recover a rate coefficient in mks units, multiply by the gas density in cgs units.",2012-10-11 10:53:43,O2,nan
53,O,41,ELASTIC,O -> O,3.428600e-5,e / O,"E + O -> E + O, Elastic",m/M = 0.000034286,"[e + O(3P) -> e + O(3P), Elastic] Laher R R  and Gilmore F R 1990 J. Phys. Chem. Ref. Data 19 277.",2018-01-01 12:20:12,O,nan
54,O,42,EXCITATION,O <-> O(1D),1.960000e+0  5.555600e-1,e / O,"E + O <-> E + O(1D), Excitation","E = 1.96 eV, g1/g0 = 0.55556","[e + O(3P) -> e + O(1D), Excitation] Laher R R  and Gilmore F R 1990 J. Phys. Chem. Ref. Data 19 277.",2018-01-01 12:21:44,O,O(1D)
55,O,43,EXCITATION,O <-> O(1S),4.180000e+0  1.111100e-1,e / O,"E + O <-> E + O(1S), Excitation","E = 4.18 eV, g1/g0 = 0.11111","[e + O(3P) -> e + O(1S), Excitation] Laher R R  and Gilmore F R 1990 J. Phys. Chem. Ref. Data 19 277.",2018-01-01 12:24:13,O,O(1S)
56,O,44,EXCITATION,O <-> O(4S0),9.200000e+0  1.111100e-1,e / O,"E + O <-> E + O(4S0), Excitation","E = 9.2 eV, g1/g0 = 0.11111","[e + O(3P) -> e + O(4S0), Excitation] Laher R R  and Gilmore F R 1990 J. Phys. Chem. Ref. Data 19 277.",2018-01-01 12:27:56,O,O(4S0)
57,O,45,EXCITATION,O <-> O(2D0),1.250000e+1  1.111100e-1,e / O,"E + O <-> E + O(2D0), Excitation","E = 12.5 eV, g1/g0 = 0.11111","[e + O(3P) -> e + O(2D0), Excitation] Laher R R  and Gilmore F R 1990 J. Phys. Chem. Ref. Data 19 277.",2018-01-01 12:29:16,O,O(2D0)
58,O,46,EXCITATION,O <-> O(2P0),1.410000e+1  1.111100e-1,e / O,"E + O <-> E + O(2P0), Excitation","E = 14.1 eV, g1/g0 = 0.11111","[e + O(3P) -> e + O(2P0), Excitation] Laher R R  and Gilmore F R 1990 J. Phys. Chem. Ref. Data 19 277.",2018-01-01 12:30:36,O,O(2P0)
59,O,47,EXCITATION,O <-> O(3P0),1.570000e+1  1.111100e-1,e / O,"E + O <-> E + O(3P0), Excitation","E = 15.7 eV, g1/g0 = 0.11111","[e + O(3P) -> e + O(3P0), Excitation] Laher R R  and Gilmore F R 1990 J. Phys. Chem. Ref. Data 19 277.",2018-01-01 12:26:17,O,O(3P0)
60,O,48,IONIZATION,O -> O^+,1.360000e+1,e / O,"E + O -> E + E + O+, Ionization",E = 13.6 eV,"[e + O(3P) -> e + e + O(+,gnd), Ionization] Laher R R  and Gilmore F R 1990 J. Phys. Chem. Ref. Data 19 277.",2018-01-01 12:31:45,O,nan
61,O(1D),42,EXCITATION,O <-> O(1D),1.960000e+0  5.555600e-1,e / O,"E + O <-> E + O(1D), Excitation","E = 1.96 eV, g1/g0 = 0.55556","[e + O(3P) -> e + O(1D), Excitation] Laher R R  and Gilmore F R 1990 J. Phys. Chem. Ref. Data 19 277.",2018-01-01 12:21:44,O,O(1D)
62,O(1S),43,EXCITATION,O <-> O(1S),4.180000e+0  1.111100e-1,e / O,"E + O <-> E + O(1S), Excitation","E = 4.18 eV, g1/g0 = 0.11111","[e + O(3P) -> e + O(1S), Excitation] Laher R R  and Gilmore F R 1990 J. Phys. Chem. Ref. Data 19 277.",2018-01-01 12:24:13,O,O(1S)
63,O(4S0),44,EXCITATION,O <-> O(4S0),9.200000e+0  1.111100e-1,e / O,"E + O <-> E + O(4S0), Excitation","E = 9.2 eV, g1/g0 = 0.11111","[e + O(3P) -> e + O(4S0), Excitation] Laher R R  and Gilmore F R 1990 J. Phys. Chem. Ref. Data 19 277.",2018-01-01 12:27:56,O,O(4S0)
64,O(2D0),45,EXCITATION,O <-> O(2D0),1.250000e+1  1.111100e-1,e / O,"E + O <-> E + O(2D0), Excitation","E = 12.5 eV, g1/g0 = 0.11111","[e + O(3P) -> e + O(2D0), Excitation] Laher R R  and Gilmore F R 1990 J. Phys. Chem. Ref. Data 19 277.",2018-01-01 12:29:16,O,O(2D0)
65,O(2P0),46,EXCITATION,O <-> O(2P0),1.410000e+1  1.111100e-1,e / O,"E + O <-> E + O(2P0), Excitation","E = 14.1 eV, g1/g0 = 0.11111","[e + O(3P) -> e + O(2P0), Excitation] Laher R R  and Gilmore F R 1990 J. Phys. Chem. Ref. Data 19 277.",2018-01-01 12:30:36,O,O(2P0)
66,O(3P0),47,EXCITATION,O <-> O(3P0),1.570000e+1  1.111100e-1,e / O,"E + O <-> E + O(3P0), Excitation","E = 15.7 eV, g1/g0 = 0.11111","[e + O(3P) -> e + O(3P0), Excitation] Laher R R  and Gilmore F R 1990 J. Phys. Chem. Ref. Data 19 277.",2018-01-01 12:26:17,O,O(3P0)
67,O3,49,ATTACHMENT,O3 -> O2^-,,e / O3,"E + O3 -> O2-, Attachment","E = 0 eV, complete set","Dissociative attachment by Skalny, et al. (1996).",2010-07-15 15:50:23,O3,nan
68,O3,50,ATTACHMENT,O3 -> O^-,,e / O3,"E + O3 -> O-, Attachment","E = 0 eV, complete set","Dissociative attachment by Skalny, et al. (1996).",2010-07-15 15:54:43,O3,nan
69,O3,51,EFFECTIVE,O3 -> O3,1.142100e-5,e / O3,"E + O3 -> E + O3, Effective","m/M = 0.000011421, complete set",,2011-06-06 18:16:58,O3,nan
70,O3,52,IONIZATION,O3 -> O3^+,1.243000e+1,e / O3,"E + O3 -> E + E + O3+, Ionization","E = 12.43 eV, complete set",Total Ionization.,2010-08-19 15:54:37,O3,nan
71,O2(a1),53,EXCITATION,O2(a1) -> O2(1.63),6.500000e-1,e / O2(0.98),"E + O2(0.98) -> E + O2(1.63), Excitation","E = 0.65 eV, complete set","K.Klopovsky,T.Rakhimova, pr.com., 1994. a1delta -> b1sigma / Hall R I, Trajmar S J 1975 J. Phys. B: Atom. Molec. Phys. 8 L293.",2010-11-03 13:27:59,O2(a1),nan
72,O2(a1),54,EXCITATION,O2(a1) -> O2(4.5),3.520000e+0,e / O2(0.98),"E + O2(0.98) -> E + O2(4.5), Excitation","E = 3.52 eV, complete set","Klopovskii K S and Rakhimova T V 1994, Privat communication. This cross section corresponding non-dissociative excitation of the c1, C3 and A3 electronic states of O2. Cross-section of the excitation of this electronic state from vibtarional and electronic a1, b1 states obtained by shifting energy by corresponding value.",2010-11-03 13:34:09,O2(a1),nan
73,O2(a1),55,EXCITATION,O2(a1) -> O + O + E,4.600000e+0,e / O2(0.98),"E + O2(0.98) -> E + O + O, Excitation","E = 4.6 eV, complete set","Klopovskii K S and Rakhimova T V 1994, Privat communication. This cross section corresponding dissociative excitation of the c1,C3 and A3 electronic states of O2. Cross-section of the dissociation from vibrational and electronic a1, b1 states obtained by shifting energy by corresponding value.",2010-11-03 13:38:42,O2(a1),nan
74,O2(a1),56,EXCITATION,O2(a1) -> O + O(1D),6.340000e+0,e / O2(0.98),"E + O2(0.98) -> E + O + O(1D), Excitation","E = 6.34 eV, complete set","Klopovskii K S and Rakhimova T V 1994, Privat communication. This cross section corresponding dissociative via B3 electronic state O2.",2010-11-03 13:44:29,O2(a1),nan
75,O2(a1),57,IONIZATION,O2(a1) -> O2^+ + E,1.110000e+1,e / O2(0.98),"E + O2(0.98) -> E + E + O2+, Ionization","E = 11.1 eV, complete set","Eliasson B, Kogelschatz U 1986 Basic data for modelling of electrical discharge in gases: Oxygen. Report KLR-86-11C. Report Brown Boveri Forschungszentrum CH-5405 Baden. Cross-section of the ionization from vibrational and electronic a1 (Vagin N P, Derugin A A, Ionin A A, Klimachev Yu M, Kochetov I V, Napartovich A P, Sinitsyn D V, Yuryshev N N, 2000, Plasma Phys. Rep. 26, 278), b1 states obtained by shifting energy by corresponding value.",2010-11-03 13:46:25,O2(a1),nan
76,O2(a1),58,IONIZATION,O2(a1) -> O + O^+,1.852000e+1,e / O2(0.98),"E + O2(0.98) -> E + E + O + O+, Ionization","E = 18.52 eV, complete set","Eliasson B, Kogelschatz U 1986 Basic data for modelling of electrical discharge in gases: Oxygen. Report KLR-86-11C. Report Brown Boveri Forschungszentrum CH-5405 Baden. Cross-section for this process for vibrational and electronic a1, b1 states obtained by shifting energy by corresponding value.",2010-11-03 13:50:31,O2(a1),nan
77,O2(b1),59,EXCITATION,O2(b1) -> O2(4.5),2.870000e+0,e / O2(1.63),"E + O2(1.63) -> E + O2(4.5), Excitation","E = 2.87 eV, complete set","Klopovskii K S and Rakhimova T V 1994, Privat communication. This cross section corresponding non-dissociative excitation of the c1, C3 and A3 electronic states of O2. Cross-section of the excitation of this electronic state from vibtarional and electronic a1, b1 states obtained by shifting energy by corresponding value.",2010-11-03 13:34:09,O2(b1),nan
78,O2(b1),60,EXCITATION,O2(b1) -> O + O + E,3.950000e+0,e / O2(1.63),"E + O2(1.63) -> E + O + O, Excitation","E = 3.95 eV, complete set","Klopovskii K S and Rakhimova T V 1994, Privat communication. This cross section corresponding dissociative excitation of the c1,C3 and A3 electronic states of O2. Cross-section of the dissociation from vibrational and electronic a1, b1 states obtained by shifting energy by corresponding value.",2010-11-03 13:38:42,O2(b1),nan
79,O2(b1),61,EXCITATION,O2(b1) -> O + O(1D),6.770000e+0,e / O2(1.63),"E + O2(1.63) -> E + O + O(1D), Excitation","E = 6.77 eV, complete set","Eliasson B, Kogelschatz U 1986 Basic data for modelling of electrical discharge in gases: Oxygen. Report KLR-86-11C. Report Brown Boveri Forschungszentrum CH-5405 Baden. This cross section corresponding dissociative via B3 electronic state of O2. Cross-section of the dissociation from vibrational and electronic b1 states obtained by shifting energy by corresponding value.",2010-11-03 13:41:14,O2(b1),nan
80,O2(b1),62,IONIZATION,O2(b1) -> O2^+ + E,1.045000e+1,e / O2(1.63),"E + O2(1.63) -> E + E + O2+, Ionization","E = 10.45 eV, complete set","Eliasson B, Kogelschatz U 1986 Basic data for modelling of electrical discharge in gases: Oxygen. Report KLR-86-11C. Report Brown Boveri Forschungszentrum CH-5405 Baden. Cross-section of the ionization from vibrational and electronic a1 (Vagin N P, Derugin A A, Ionin A A, Klimachev Yu M, Kochetov I V, Napartovich A P, Sinitsyn D V, Yuryshev N N, 2000, Plasma Phys. Rep. 26, 278), b1 states obtained by shifting energy by corresponding value.",2010-11-03 13:46:25,O2(b1),nan
81,O2(b1),63,IONIZATION,O2(b1) -> O + O^+,1.787000e+1,e / O2(1.63),"E + O2(1.63) -> E + E + O + O+, Ionization","E = 17.87 eV, complete set","Eliasson B, Kogelschatz U 1986 Basic data for modelling of electrical discharge in gases: Oxygen. Report KLR-86-11C. Report Brown Boveri Forschungszentrum CH-5405 Baden. Cross-section for this process for vibrational and electronic a1, b1 states obtained by shifting energy by corresponding value.",2010-11-03 13:50:31,O2(b1),nan
